CellID,20-22_m,22-23_m,Cck,Pcp4,Pvalb,Sst,Vip,centroidX,centroidY
32939,0,0,0,2,0,0,0,1.755091e+04,9.834122e+03
32940,0,0,0,4,0,0,0,1.620684e+04,9.843343e+03
32942,0,0,0,3,0,0,0,1.668250e+04,9.823108e+03
32943,0,0,0,2,0,0,0,1.610935e+04,9.841383e+03
32947,0,0,0,0,0,0,0,1.785563e+04,9.843023e+03
32948,0,0,0,1,0,0,0,1.777313e+04,9.847776e+03
32949,0,0,0,18,0,0,0,1.599454e+04,9.841873e+03
32952,0,0,0,1,0,0,0,1.745265e+04,9.868120e+03
32953,0,0,0,1,1,0,0,1.751627e+04,9.881485e+03
32954,0,0,0,4,0,0,0,1.787227e+04,9.889357e+03
32955,0,0,0,9,0,0,0,1.793683e+04,9.881684e+03
32961,0,0,0,1,0,0,0,1.771422e+04,9.907100e+03
32962,0,0,0,1,0,0,0,1.773844e+04,9.898941e+03
32965,0,0,0,1,0,0,0,1.654257e+04,9.908535e+03
32966,2,0,0,3,0,0,0,1.776966e+04,9.913162e+03
32967,0,0,0,4,0,0,0,1.625299e+04,9.910126e+03
32969,0,0,0,1,2,0,0,1.659413e+04,9.922325e+03
32970,0,0,0,0,0,0,0,1.765455e+04,9.932550e+03
32971,0,0,0,2,0,0,0,1.782970e+04,9.929396e+03
32972,0,0,0,0,1,0,0,1.663442e+04,9.928194e+03
32976,0,0,0,2,0,0,0,1.684202e+04,9.945257e+03
32977,0,0,0,0,0,0,0,1.670874e+04,9.940519e+03
32979,0,0,0,2,0,0,0,1.604728e+04,9.948432e+03
32980,0,0,0,0,0,0,0,1.715050e+04,9.937481e+03
32981,0,0,0,1,1,0,0,1.602591e+04,9.953088e+03
32987,0,0,0,1,0,0,0,1.783888e+04,9.972976e+03
32990,0,0,0,0,0,0,0,1.775531e+04,9.970611e+03
33020,0,0,0,1,0,0,0,1.915995e+04,8.105372e+03
33038,0,0,0,1,0,0,0,1.898834e+04,8.202546e+03
33039,0,0,0,1,0,0,0,1.997314e+04,8.177885e+03
33040,0,0,0,1,0,0,0,1.861716e+04,8.197392e+03
33043,0,0,1,0,0,0,0,1.828259e+04,8.212847e+03
33049,0,0,0,1,0,0,0,1.963222e+04,8.223629e+03
33050,0,0,1,0,0,0,0,1.998660e+04,8.233882e+03
33059,0,0,0,1,0,0,0,1.995269e+04,8.266156e+03
33060,1,0,0,0,0,0,0,1.970878e+04,8.288144e+03
33075,0,0,1,1,0,0,0,1.956423e+04,8.374642e+03
33081,0,0,0,0,0,0,4,1.867401e+04,8.405746e+03
33082,0,0,0,1,0,0,0,1.891739e+04,8.402762e+03
33084,0,0,0,1,0,0,0,1.878088e+04,8.415908e+03
33086,1,0,0,1,0,0,0,1.807500e+04,8.426845e+03
33096,0,0,0,1,0,0,0,1.937585e+04,8.453639e+03
33099,0,0,0,1,0,0,0,1.912420e+04,8.458412e+03
33105,0,0,0,1,0,0,0,1.833241e+04,8.490763e+03
33107,0,0,0,1,0,0,0,1.846512e+04,8.515416e+03
33108,0,0,0,1,0,0,0,1.959249e+04,8.503582e+03
33110,0,0,0,2,0,0,0,1.884677e+04,8.511969e+03
33126,0,0,0,0,0,0,0,1.899958e+04,8.589824e+03
33143,0,0,0,1,0,0,0,1.837927e+04,8.691313e+03
33144,2,0,1,5,0,0,0,1.909121e+04,8.688473e+03
